package_id,package_name,sc_id,package_front_description,package_img_description,FAQ,segmentation_type_id
121,"Decorative ceiling fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
122,"Exhaust Fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
123,"Wall Fan installation",11,"Covers installation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
124,"Fan replacement",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
125,"Fan repair",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
126,"Ceiling fan regulator replacement",11,"Covers replacement only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
127,"Ceiling light installation",11,"Covers installation only. Light/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
128,"Tubelight installation/repair",11,"Covers installation only. Tubelight/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
129,"Wall light installation",11,"Covers installation only. Light/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
130,"Bulb/CFL/LED installation (upto 5)",11,"Covers installation only. Bulb/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
